978313080;22378;14272
978317940;5530;16122
978323340;12155;17410
978323340;12155;10568
978323340;12155;19602
978328080;16979;20201
978330180;8221;7397
978338160;6;19535
978338160;6;1
978339300;6;93
978341280;93;6
978341460;6;93
978343260;14674;6157
978343260;14674;9265
978346800;16046;14958
978346800;16046;91
978346800;16046;148
978346920;13217;10568
978346920;13217;148
978348660;13217;10568
978350580;76;127
978351960;76;0
978352500;76;11520
978352500;76;11772
978352740;3;18952
978354540;22053;18654
978356580;3;5699
978356760;3;6385
978357000;3;8548
978364020;20647;21138
978372900;16046;20273
978372900;16046;2963
978373260;16046;20273
978373260;16046;2963
978390600;123;16469
978390900;17503;10568
978391500;1;6
978391860;17503;8789
978392460;83;8509
978393000;18747;6574
978393060;21752;16584
978393060;21752;4845
978393060;21752;47
978393120;83;1126
978393180;18747;243
978393180;18747;6422
978393180;18747;14184
978393240;18747;11562
978393420;6;1
978393720;7330;83
978393720;7330;12675
978394320;83;19649
978394320;83;14674
978394560;83;8510
978394740;7443;9186
978394740;7443;13
978394740;83;7330
978395160;94;5577
978395340;94;7444
978395340;94;9008
978395460;8509;7397
978395460;26;8874
978396000;94;5009
978396120;68;108
978396120;94;8259
978396120;94;8150
978396180;140;54
978396480;14701;7745
978396480;14701;20579
978396780;94;1009
978396900;8789;11750
978396960;8789;18739
978397080;94;7657
978397260;2018;14272
978397320;8789;17854
978397320;94;5577
978397560;77;1581
978397560;77;15291
978397560;77;26
978397740;94;5577
978397800;1;16046
978397800;2928;11720
978397800;2928;10568
978398160;1;20812
978398220;131;110
978398340;9292;15856
978398400;26;1581
978398400;26;77
978398400;26;15291
978398460;14701;7745
978398460;26;5010
978398520;2544;14567
978398580;26;9172
978398640;94;8701
978398640;94;5009
978398700;83;18357
978398760;20190;12280
978398820;26;41
978398820;26;7183
978398940;3453;1517
978398940;3453;11840
978398940;3453;108
978398940;1;6404
978399000;10568;7701
978399180;3453;1517
978399180;3453;108
978399360;0;74
978399360;10568;17503
978399420;123;13801
978399480;3453;1517
978399480;3453;108
978399540;76;0
978399780;21752;20231
978399780;21752;4845
978399780;21752;47
978399780;26;830
978399840;17503;19479
978399900;17503;19479
978399900;17503;19479
978400020;14567;17000
978400020;14567;11440
978400020;14567;10972
978400080;5;9437
978400260;18106;6677
978400320;1705;10568
978400320;1;14958
978400320;1;3306
978400500;83;14674
978400560;20726;5331
978400740;112;15534
978400860;123;13801
978401220;5009;8701
978401220;5009;94
978401520;83;17737
978401760;6795;17503
978401820;11752;22269
978402780;5021;15856
978402780;5021;7266
978402840;34;13
978402840;34;11249
978403020;64;77
978403020;64;324
978403080;8879;6677
978403080;8879;18106
978403140;10568;17047
978403200;18747;11562
978403200;18747;14865
978403500;10568;11193
978404160;12221;18528
978404280;94;5009
978404340;1705;10568
978404520;47;7436
978404580;8288;63
978405120;98;21564
978405120;4518;83
978405240;10568;11193
978405420;14561;1
978405480;11688;12952
978405480;11688;14567
978405540;131;6912
978406080;83;1
978406080;83;16046
978406140;10568;7883
978406140;13506;9730
